item,quantitiy,tot. cost,
Raspberry Pi Pico,1,3.94,"https://www.aliexpress.us/item/3256805901509044.html?spm=a2g0o.productlist.main.4.dbd8ce49Pw7vDJ&aem_p4p_detail=202507160215394922763879841710000065438&algo_pvid=166d0d05-e104-4c77-8e09-4d1850dd867c&algo_exp_id=166d0d05-e104-4c77-8e09-4d1850dd867c-3&pdp_ext_f={""order"":""588"",""eval"":""1""}&pdp_npi=4@dis!USD!3.94!0.99!!!28.12!7.05!@2103245417526573392084861e1d15!12000044713099471!sea!US!6423725769!ABX&curPageLogUid=9vH35S108aDJ&utparam-url=scene:search|query_from:&search_p4p_id=202507160215394922763879841710000065438_1"
8x8 Neopixel Matrix,5,0.99,https://www.aliexpress.us/item/3256806907950230.html?spm=a2g0o.productlist.main.1.2bbc5ce5pLgTVv&aem_p4p_detail=202507151754542105286846737200000740401&algo_pvid=230e7d87-c7e6-4e0c-8734-1b0156b671e8&algo_exp_id=230e7d87-c7e6-4e0c-8734-1b0156b671e8-0&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.42%210.99%21%21%2117.26%217.08%21%402103209b17526272944055213e0d20%2112000039383600775%21sea%21US%210%21ABX&curPageLogUid=1N7nF0o4iUD7&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507151754542105286846737200000740401_1
Jumper Wire Kit,1,2.94,https://www.aliexpress.us/item/3256801814340687.html?spm=a2g0o.cart.0.0.18e038daN3o7c6&mp=1&pdp_npi=5@dis!USD!USD 3.11!USD 2.94!!USD 2.94!!!@2103244817526478142373005ef927!12000018371624182!ct!US!6423725769!!1!0&_gl=1*1n0i64z*_gcl_au*MTk0MzAyNDY5MC4xNzUyNjI3MjM2*_ga*MTc1NDE4NzMwOC4xNzUyNjI3MjM3*_ga_VED1YSGNC7*czE3NTI2NDcxMjIkbzMkZzEkdDE3NTI2NDc4MzAkajE2JGwwJGgw&gatewayAdapt=glo2usa
7 Segment Display,2,0.88,https://www.aliexpress.us/item/3256806851785862.html?spm=a2g0o.productlist.main.2.76ae5146QPECX9&algo_pvid=e750615b-f244-471b-bc4a-14b7c0dba0d7&algo_exp_id=e750615b-f244-471b-bc4a-14b7c0dba0d7-1&pdp_ext_f=%7B%22order%22%3A%221740%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007038100614%22%2C%22orig_item_id%22%3A%221005008653444674%22%7D&pdp_npi=4%40dis%21USD%211.97%210.89%21%21%2114.02%216.31%21%402101c80217526280440434429ebc72%2112000039179020865%21sea%21US%210%21ABX&curPageLogUid=seevTTpQwIjR&utparam-url=scene%3Asearch%7Cquery_from%3A
Joystick,1,5.54,https://www.aliexpress.us/item/3256807375670744.html?spm=a2g0o.productlist.0.0.4dcf732baWaYuF&mp=1&pdp_npi=5%40dis%21USD%21USD%205.55%21USD%200.99%21%21USD%200.99%21%21%21%402103246617526296646986725ef22f%2112000041302774772%21ct%21US%21-1%21%211%210&_gl=1*1cuejm7*_gcl_au*Nzg2NzU0ODQ1LjE3NTI2MjcyOTg.*_ga*MTI2NzgwMDk2Ny4xNzUyNjI3NzUy*_ga_VED1YSGNC7*czE3NTI2Mjc3NTIkbzEkZzEkdDE3NTI2Mjk2NjQkajYkbDAkaDA.&gatewayAdapt=glo2usa
Stepper Motor,1,6.05,https://www.aliexpress.us/item/3256802068491329.html?spm=a2g0o.productlist.main.2.5c6722b96U4iYb&algo_pvid=ff7cea5a-0fa2-4fb9-84df-aa9c87232c42&algo_exp_id=ff7cea5a-0fa2-4fb9-84df-aa9c87232c42-1&pdp_ext_f=%7B%22order%22%3A%2294%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2117.73%210.99%21%21%2117.73%210.99%21%402101c59517526291617727360eec60%2112000030753573944%21sea%21US%210%21ABX&curPageLogUid=7Ex5kMtxOTSK&utparam-url=scene%3Asearch%7Cquery_from%3A         https://www.amazon.com/gp/product/B00PNEQKC0/ref=ewc_pr_img_3?smid=AWQBCGWISS7BL&psc=1
Stepper Motor Driver,1,2.25,https://www.aliexpress.us/item/3256809082535036.html?spm=a2g0o.cart.0.0.4f6638da3vPkLG&mp=1&pdp_npi=5@dis!USD!USD 4.50!USD 2.25!!USD 2.25!!!@2101ead817526549979955339eefa0!12000048551339904!ct!US!6423725769!!1!0&_gl=1*1jo1tpj*_gcl_au*MTk0MzAyNDY5MC4xNzUyNjI3MjM2*_ga*MTc1NDE4NzMwOC4xNzUyNjI3MjM3*_ga_VED1YSGNC7*czE3NTI2NTMwNjIkbzQkZzEkdDE3NTI2NTQ5OTgkajU5JGwwJGgw&gatewayAdapt=glo2usa
9v Battery,2,0,n/a
9V Battery Wire,2,1.35,https://www.aliexpress.us/item/3256806021864359.html?spm=a2g0o.productlist.main.1.3cdc63faZErZgJ&algo_pvid=79f0a5c4-7072-47e4-94d5-bd7585c02c02&algo_exp_id=79f0a5c4-7072-47e4-94d5-bd7585c02c02-0&pdp_ext_f=%7B%22order%22%3A%22872%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.39%210.99%21%21%219.90%217.01%21%402103244817526291003078319ef997%2112000036283911965%21sea%21US%210%21ABX&curPageLogUid=NyxoG5DCxoBX&utparam-url=scene%3Asearch%7Cquery_from%3A
I2C Audio Module,1,2.13,https://www.aliexpress.us/item/3256807442706139.html?spm=a2g0o.cart.0.0.337d38daaIdRcX&mp=1&pdp_npi=5@dis!USD!USD 2.18!USD 2.13!!USD 2.13!!!@2103146c17526564969422213ebb51!12000041565703118!ct!US!6423725769!!1!0&_gl=1*zdge7z*_gcl_au*MTk0MzAyNDY5MC4xNzUyNjI3MjM2*_ga*MTc1NDE4NzMwOC4xNzUyNjI3MjM3*_ga_VED1YSGNC7*czE3NTI2NTMwNjIkbzQkZzEkdDE3NTI2NTY0ODMkajU4JGwwJGgw&gatewayAdapt=glo2usa
Speaker,1,1.84,"https://www.aliexpress.us/item/3256805513567413.html?spm=a2g0o.productlist.main.2.62921545em6tZ4&algo_pvid=6fd662af-376f-43c8-b7bc-04e676755f85&algo_exp_id=6fd662af-376f-43c8-b7bc-04e676755f85-1&pdp_ext_f={""order"":""521"",""eval"":""1""}&pdp_npi=4@dis!USD!1.91!0.99!!!13.62!7.02!@2103247417526569339281477efc58!12000044410928207!sea!US!6423725769!ABX&curPageLogUid=dsVUW3rp1g8F&utparam-url=scene:search|query_from:"
header pins,1,2.21,"https://www.aliexpress.us/item/2255800687544049.html?spm=a2g0o.productlist.main.3.33dd552fLOHpHk&algo_pvid=4a50cbd5-7957-4d16-a3ac-91a9c1a7af24&algo_exp_id=4a50cbd5-7957-4d16-a3ac-91a9c1a7af24-2&pdp_ext_f={""order"":""3500"",""eval"":""1""}&pdp_npi=4@dis!USD!2.21!0.99!!!2.21!0.99!@2101e07217526574650792034e0f2b!10000010058190554!sea!US!6423725769!ABX&curPageLogUid=oeRbzI77IVV5&utparam-url=scene:search|query_from:"
pcb,1,6.22,https://jlcpcb.com/
,,36.34,
